"ID","name","company","location","welfare","label","salaryMin","salaryMax","salaryMid","experience","education","companyType","companyLevel","companySize"
420,"数据分析师","对庄科技","广州·花地湾","“发展空间大,给力小伙伴,经验值UP”","电商 大数据 MySQL 数据分析 数据挖掘 DBA","10","15","12.5","经验3-5年","本科","移动互联网","A轮","15-50人"
422,"数据分析师","喜马拉雅","北京·酒仙桥","“16薪 周末双休 极客文化 弹性工作”","BI 可视化 SQL 数据库","17","30","23.5","经验5-10年","本科","移动互联网,文娱丨内容","D轮及以上","500-2000人"
423,"数据分析师","迅游科技","重庆·龙溪","“五险一金,交通补贴,年底双薪,餐费补贴”","游戏 数据挖掘 数据分析","15","30","22.5","经验3-5年","大专","移动互联网,游戏","不需要融资","150-500人"
424,"数据分析师（反欺诈方向）","本木医疗","北京·朝阳区","“薪资高,福利多”","MySQL SQLServer 数据分析","15","25","20","经验3-5年","本科","移动互联网,消费生活","不需要融资","50-150人"
425,"数据分析师（中级）","悦跑圈","广州·天河区","“五险一金，周末双休，公司氛围好”","移动互联网 体育 数据分析 数据运营 数据库","8","15","11.5","经验1-3年","本科","移动互联网","C轮","150-500人"
426,"数据分析师-03","希为科技","北京·海淀区","“14薪；年轻有活力的团队；五险一金；”","金融 数据分析","13","25","19","经验1-3年","本科","企业服务,金融","不需要融资","50-150人"
427,"数据分析师","百乘金科集团","北京·大屯","“地铁周边,节日福利,年终奖金,晋升空间”","数据分析 SQL 数据库","20","35","27.5","经验3-5年","本科","金融","上市公司","2000人以上"
428,"数据分析师","爱奇艺","北京·海淀区","“机会多 空间大 ，六险一金 ，12天年假”","移动互联网 数据分析 数据运营","20","35","27.5","经验3-5年","本科","文娱丨内容","上市公司","2000人以上"
429,"数据分析师 (MJ003207)","哈啰出行","上海·闵行区","“互联网公司 弹性工作 领导好”","SPSS SQL 数据库 数据分析","15","25","20","经验不限","不限","移动互联网,硬件","D轮及以上","2000人以上"
430,"数据分析经理","悦然","广州·海幢","“五险 年终奖 节日福利 年度旅游 全勤奖”","电商 数据库 数据运营 数据分析 商业","10","20","15","经验5-10年","大专","电商","不需要融资","500-2000人"
431,"数据分析师","途虎养车网","上海·南方商…","“扁平化管理，大牛带教”","BI 可视化 数据分析 SQL","15","20","17.5","经验1-3年","本科","汽车丨出行","D轮及以上","2000人以上"
