"name","company","location","welfare","label","salaryMin","salaryMax","salaryMid","experience","education","companyType","companyLevel","companySize"
"市场专员兼数据分析师","杭州光奇犇乐电子商务有限公司","滨江区","“双休不加班,午间小游戏,超活跃氛围”","数据分析 行业分析","6","8","7","经验3-5年","大专","电商","不需要融资","15-50人"
"数据分析","信用管家","西溪","“餐补,双休,五险一金”","SQL SPSS","12","17","14.5","经验3-5年","本科","移动互联网,金融","不需要融资","150-500人"
"数据分析","圆通","仓前","“双休”","SPSS SQL 数据库 DBA","8","15","11.5","经验应届毕业生","不限","物流丨运输","上市公司","2000人以上"
"数据分析","婚礼纪","西湖区","“六险一金、年终奖、发展空间大”","MySQL","10","15","12.5","经验1-3年","本科","消费生活","D轮及以上","500-2000人"
"数据分析","微店","西湖区","“独立负责 奖金期权多 福利好”","电商 SQL","10","16","13","经验1-3年","本科","电商","C轮","500-2000人"
"数据分析","红花朵朵","西溪","“快速成长，行业独角兽”","数据仓库 数据架构","12","20","16","经验3-5年","本科","移动互联网,教育","A轮","50-150人"
"数据分析","网易金融","长河","“空间的大。优秀的技术团队”","教育 移动互联网 商业 数据运营 SQL","20","40","30","经验应届毕业生","本科","移动互联网,金融","不需要融资","150-500人"
"数据分析","霖梓控股","滨江区","“双休,节假日福利,弹性工作,五险一金”","电商 金融","9","18","13.5","经验1-3年","本科","移动互联网,金融","B轮","150-500人"
"数据分析（BI方向）","盈富斯","彭埠","“妹子多 C轮融资 海归大神 下午茶”","电商 移动互联网 数据分析 行业分析 市场分析 商业策划","8","10","9","经验1-3年","本科","电商","C轮","150-500人"
"数据分析（跨境电商）","迪欧达","西兴","“社保 餐补 法定节假日 团建活动”","电商 市场竞争分析 数据分析 海外市场","6","8","7","经验1-3年","本科","其他","未融资","150-500人"
"数据分析专员","云集","下城区","“股票期权,行业独角兽,奖金丰厚,工作氛围”","后台","5","10","7.5","经验1-3年","本科","电商,移动互联网","上市公司","500-2000人"
"数据分析专员","江南布衣","古墩路","“上市公司”","数据分析 SPSS SQL 数据库","6","9","7.5","经验3-5年","大专","电商,消费生活","上市公司","2000人以上"
"数据分析专家","Club Factory","古荡","“发展空间,导师型老板”","电商 BI 数据分析","25","35","30","经验5-10年","本科","电商,移动互联网","C轮","150-500人"
"数据分析专家","丁香园","滨江区","“发展前景”","数据分析","18","25","21.5","经验5-10年","本科","医疗丨健康,企业服务","D轮及以上","500-2000人"
"数据分析专家","多准大数据","西湖区","“六险一金、境内外旅游、带薪年假、培训发展”","电商 广告营销 营销策略 消费者分析 市场分析 数据分析","25","50","37.5","经验5-10年","本科","数据服务,广告营销","A轮","50-150人"
"数据分析专家","大希地","拱墅区","“扁平管理 五险一金”","电商 直播 数据分析 网站分析 市场 效果跟踪","10","20","15","经验3-5年","本科","电商","B轮","150-500人"
"数据分析专家","接力棒","拱墅区","“领导NICE”","大数据 教育","25","40","32.5","经验5-10年","本科","移动互联网,消费生活","未融资","50-150人"
"数据分析专家","滴滴","西湖区","“大平台”","策略运营 数据分析","20","35","27.5","经验5-10年","本科","汽车丨出行","不需要融资","2000人以上"
"数据分析专家","蚂蚁金服集团","古荡","“蚂蚁金服”","互联网金融","35","50","42.5","经验5-10年","本科","金融,移动互联网","B轮","2000人以上"
"数据分析专家","顾德智能","浦沿","“互联网大厂”","大数据 电商","55","80","67.5","经验5-10年","本科","企业服务,金融","未融资","15-50人"
"数据分析专家-杭州-00960","同盾科技","仓前","“团队氛围好,数据”","大数据 数据分析","15","30","22.5","经验3-5年","硕士","信息安全,数据服务","C轮","500-2000人"
"数据分析专家（商业）","浙江执御信息技术有限公司","拱墅区","“晋升 跟踪培养 六险一金 带薪年假”","数据分析","20","30","25","经验5-10年","本科","移动互联网,数据服务","C轮","2000人以上"
"数据分析专家（智能化）","传化智联","萧山区","“弹性工作,股票期权,技术驱动,专业培训”","物流 数据分析 数据运营 BI 可视化","13","25","19","经验3-5年","本科","物流丨运输","上市公司","2000人以上"
"数据分析专家（营销分析）","瀚亚资本","浦沿","“薪酬和空间发展”","数据挖掘 数据仓库 数据分析 数据架构","50","70","60","经验5-10年","不限","金融","不需要融资","2000人以上"
"数据分析专家/","浙江执御信息技术有限公司","拱墅区","“发展空间,团队氛围,个人成长,牛人多”","大数据 数据分析 商业 BI","15","30","22.5","经验5-10年","硕士","移动互联网,数据服务","C轮","2000人以上"
"数据分析专家/负责人","贴近Closer","西溪","“股票期权，五险一金，优秀同事，前景可期”","电商 大数据 数据分析 数据处理 算法","30","50","40","经验5-10年","本科","移动互联网,文娱丨内容","不需要融资","50-150人"
"数据分析产品经理","广通软件","翠苑","“研发氛围好,平台棒,领导好”","大数据 数据分析 数据","20","40","30","经验3-5年","大专","移动互联网,数据服务","上市公司","150-500人"
"数据分析实习生","观远数据","仓前","“牛人团队 成长空间 期权激励 独当一面”","大数据 企业服务 MySQL 数据分析","3","5","4","经验应届毕业生","本科","企业服务,数据服务","A轮","50-150人"
"数据分析实习生 (MJ000087)","袋鼠云","西湖区","“阿里系创业、云计算生态、餐补、双休”","工具软件 大数据","3","4","3.5","经验应届毕业生","本科","数据服务","A轮","150-500人"
"数据分析实习生（大三，急）","仟金顶","滨江区","“提供一对一辅导”","大数据","2","4","3","经验1年以下","本科","电商","B轮","150-500人"
"数据分析工程师","东方国信","西湖区","“五险一金，带薪休假，年底双薪+年终奖”","通信/网络设备 大数据 数据挖掘 数据分析","15","25","20","经验5-10年","本科","数据服务","上市公司","2000人以上"
"数据分析工程师","国铁吉讯科技有限公司","西兴","“五险一金,绩效奖金,带薪年假,岗位晋升”","数据挖掘 数据分析","15","25","20","经验3-5年","本科","移动互联网","不需要融资","150-500人"
"数据分析工程师","安恒信息","西兴","“五险一金 带薪年假 国内外旅游”","信息安全","13","20","16.5","经验1-3年","本科","信息安全,数据服务","D轮及以上","500-2000人"
"数据分析工程师","新浪微博","拱墅区","“机器学习、核心业务”","数据分析 数据库","20","40","30","经验不限","本科","文娱丨内容","上市公司","2000人以上"
"数据分析工程师","浮云网络","下城区","“空间大 发展好 老板nice 奖金多”","游戏 数据分析 数据挖掘","20","30","25","经验3-5年","不限","游戏,移动互联网","上市公司","150-500人"
"数据分析师","Club Factory","古荡","“弹性工作,周末双休”","电商","8","15","11.5","经验应届毕业生","硕士","电商,移动互联网","C轮","150-500人"
"数据分析师","Lokation","西兴","“中餐补助 五险一金”","数据库 SQL","12","20","16","经验1-3年","本科","移动互联网","天使轮","少于15人"
"数据分析师","个推","西溪","“16-18薪”","大数据","12","24","18","经验1-3年","本科","移动互联网","上市公司","500-2000人"
"数据分析师","中巴虹安","仓前","“五险一金 驻外补贴 创业团队 公司前景好”","移动互联网 电商 商业 数据分析 数据运营 数据库","15","25","20","经验3-5年","不限","电商,金融","天使轮","15-50人"
"数据分析师","保险师 · 微易信息科技","文三路","“提升空间大,六险一金,周末双休,弹性时间”","数据分析","8","15","11.5","经验1-3年","本科","移动互联网,金融","B轮","150-500人"
"数据分析师","光云科技","西兴","“弹性时间,六险一金,股票期权,年度旅游”","电商 广告营销 数据分析","15","25","20","经验3-5年","本科","电商,数据服务","不需要融资","500-2000人"
"数据分析师","创邻科技","三墩","“自主性强,灵活工作时,氛围好，前景佳”","社交 大数据 数据分析 数据库 SQL 数据运营","8","16","12","经验不限","本科","企业服务,数据服务","A轮","15-50人"
"数据分析师","力方力合（杭州）体育用品有限公司","江干区","“周末双休 入职五险公积金年底13-14薪”","体育 数据分析","6","10","8","经验3-5年","大专","其他,消费生活","不需要融资","15-50人"
"数据分析师","吉林省海生电子商务有限公司","余杭区","“五险一金”","移动互联网 数据分析","25","35","30","经验3-5年","本科","电商","不需要融资","少于15人"
"数据分析师","嘿豆商城","下沙","“五险一金，餐补”","电商 数据分析","10","15","12.5","经验3-5年","本科","移动互联网,电商","未融资","150-500人"
"数据分析师","国誉信睿","长河","“五险一金,周末双休,扁平管理,机会大”","数据挖掘 数据分析","10","20","15","经验3-5年","本科","企业服务","未融资","15-50人"
"数据分析师","国铁吉讯科技有限公司","西兴","“五险一金,绩效奖金,带薪年假,岗位晋升”","数据分析","15","25","20","经验3-5年","本科","移动互联网","不需要融资","150-500人"
"数据分析师","威斯科技","西湖","“公司发展前景广，空间大，兼CTO助理”","新零售 电商 数据分析 商业","25","40","32.5","经验3-5年","本科","移动互联网","未融资","50-150人"
"数据分析师","婚礼纪","西溪","“五险一金，双休，带薪年假，年终奖”","广告营销 数据分析 数据库","10","15","12.5","经验1-3年","本科","消费生活","D轮及以上","500-2000人"
"数据分析师","婚礼纪","西溪","“大平台,学习空间大,年终奖”","电商","8","14","11","经验1-3年","本科","消费生活","D轮及以上","500-2000人"
"数据分析师","无际云帆","仓前","“股票期权”","电商 数据分析 SPSS SQL 数据库","9","13","11","经验1-3年","本科","电商","不需要融资","15-50人"
"数据分析师","星奈吉","西溪","“16-18薪，每月400餐补，包晚餐”","数据分析","15","26","20.5","经验3-5年","本科","电商","C轮","150-500人"
"数据分析师","杭州众数信息技术有限公司","西溪","“发展潜力，结合业务，项目制”","企业服务 可视化 数据分析 数据库","10","13","11.5","经验1-3年","本科","数据服务","不需要融资","15-50人"
"数据分析师","杭州抖抖智能科技有限公司","西兴","“入职五险一金、双休、午餐、下午茶”","移动互联网 数据分析 SQL","6","10","8","经验1-3年","本科","移动互联网,金融","不需要融资","50-150人"
"数据分析师","格上出行","建设一路","“周末双休 五险一金 加班补助 员工旅游”","数据分析","8","10","9","经验1-3年","本科","移动互联网,企业服务","不需要融资","500-2000人"
"数据分析师","森马电商","西湖区","“双休 五险一金 假期长 扁平化管理”","商业 数据分析","8","12","10","经验1-3年","本科","移动互联网,电商","上市公司","500-2000人"
"数据分析师","汇信科技","湖墅南路","“自主的工作，一流的福利”","大数据 企业服务 数据分析","15","20","17.5","经验3-5年","本科","移动互联网,电商","未融资","150-500人"
"数据分析师","浙江执御信息技术有限公司","拱墅区","“五险一金全额缴纳，跨境电商出口。”","电商 数据分析 SQL 数据库","15","22","18.5","经验3-5年","本科","移动互联网,数据服务","C轮","2000人以上"
"数据分析师","海拍客","西湖区","“股票期权,弹性工作,带薪年假,发展空间大”","BI 可视化 数据分析","10","20","15","经验1-3年","本科","电商","C轮","500-2000人"
